"スキル項目コード","専門分野コード"
"S110060060","HP-010-130"
"S110060070","HI-020-010"
"S110060070","HI-030-010"
"S110060070","HI-040-010"
"S110060070","HI-090-010"
"S110060070","HI-090-020"
"S110060070","HI-090-030"
"S110060070","HI-100-010"
"S110060070","HU-020-010"
"S110060070","HU-030-010"
"S110060070","HU-040-010"
"S110060070","HU-050-010"
"S110060070","HU-110-010"
"S110060070","HE-050-010"
"S110060070","HS-010-010"
"S110060070","HS-020-010"
"S110060070","HS-030-020"
"S110060070","HS-050-010"
"S110060070","HS-060-010"
"S110060070","HF-010-010"
"S110060070","HF-010-030"
"S110060070","HF-010-040"
"S110060070","HF-020-010"
"S110060070","HF-020-020"
"S110060070","HF-030-010"
"S110060070","HF-030-020"
"S110060070","HF-040-010"
"S110060070","HN-010-010"
"S110060070","HN-010-020"
"S110060070","HN-010-030"
"S110060070","HP-010-010"
"S110060070","HP-010-020"
"S110060070","HP-010-030"
"S110060070","HP-010-050"
"S110060070","HP-010-130"
"S110060080","HI-020-010"
"S110060080","HI-030-010"
"S110060080","HU-010-010"
"S110060080","HF-010-010"
"S110060080","HF-010-020"
"S110060080","HF-030-010"
"S110060080","HF-030-020"
"S110060080","HN-010-010"
"S110070010","HI-030-010"
"S110070010","HU-020-010"
"S110070010","HS-010-010"
"S110070010","HF-010-010"
"S110070010","HF-010-030"
"S110070010","HF-030-010"
"S110070010","HP-010-010"
"S110080010","HI-030-010"
"S110080010","HU-010-010"
"S110080010","HF-010-010"
"S110080010","HF-010-020"
"S110080010","HF-030-010"
"S110080010","HF-030-020"
"S110080010","HP-010-010"
"S110080010","HP-010-020"
"S110080010","HP-010-050"
"S110080010","HP-010-090"
"S110080010","HP-010-130"
"S120010010","HI-040-010"
"S120010010","HU-040-010"
"S120010010","HE-050-010"
"S120010010","HF-010-030"
"S120010010","HF-020-020"
"S120010010","HF-030-020"
"S120010010","HF-040-010"
"S120010010","HN-010-010"
"S120010010","HN-010-020"
"S120010010","HN-010-030"
"S120010010","HN-030-010"
"S120010010","HN-030-020"
"S120010010","HP-010-020"
"S120010020","HI-040-010"
"S120010020","HI-090-010"
"S120010020","HI-090-020"
"S120010020","HI-100-010"
"S120010020","HU-040-010"
"S120010020","HU-110-010"
"S120010020","HE-050-010"
"S120010020","HS-010-010"
"S120010020","HS-020-010"
"S120010020","HS-030-020"
"S120010020","HS-050-010"
"S120010020","HS-060-010"
"S120010020","HF-010-030"
"S120010020","HF-020-020"
"S120010020","HF-030-020"
